index,millisecond,x,y,z,yaw
1.73736e+09,1737360126827812281,-0.0181014,-0.0841269,0,-0.228207
1.73736e+09,1737360126926033519,-0.0181014,-0.0841269,0,-0.228207
1.73736e+09,1737360127025892512,-0.018205,-0.084217,0,-0.226893
1.73736e+09,1737360127125969480,-0.0182514,-0.0842486,0,-0.226893
1.73736e+09,1737360127225888475,-0.0179446,-0.0843381,0,-0.226893
1.73736e+09,1737360127326102947,-0.0180273,-0.0843113,0,-0.226893
1.73736e+09,1737360127425889698,-0.0182612,-0.084265,0,-0.227037
1.73736e+09,1737360127525887497,-0.0182235,-0.0842429,0,-0.226893
1.73736e+09,1737360127625884984,-0.0182235,-0.0842429,0,-0.226893
1.73736e+09,1737360127725895335,-0.0182157,-0.0845329,0,-0.226279
1.73736e+09,1737360127827096138,-0.0182218,-0.0842185,0,-0.227511
1.73736e+09,1737360127925887704,-0.0182218,-0.0842185,0,-0.227511
1.73736e+09,1737360128025914879,-0.0182432,-0.0839152,0,-0.226893
1.73736e+09,1737360128125912208,-0.0181434,-0.0846219,0,-0.226893
1.73736e+09,1737360128225883027,-0.0181318,-0.0839434,0,-0.227217
1.73736e+09,1737360128325951712,-0.0181464,-0.0840046,0,-0.227153
1.73736e+09,1737360128425889613,-0.0184318,-0.0844809,0,-0.226462
1.73736e+09,1737360128525905537,-0.0181713,-0.0842371,0,-0.227053
1.73736e+09,1737360128625928701,-0.0181713,-0.0842371,0,-0.227053
1.73736e+09,1737360128726596050,-0.0181988,-0.0842525,0,-0.226893
1.73736e+09,1737360128826295714,-0.0182953,-0.084195,0,-0.226725
1.73736e+09,1737360128925891939,-0.0182953,-0.084195,0,-0.226725
1.73736e+09,1737360129025891039,-0.0180244,-0.0842159,0,-0.226893
1.73736e+09,1737360129125893680,-0.0181979,-0.0841922,0,-0.226984
1.73736e+09,1737360129225886895,-0.0183695,-0.0844971,0,-0.226223
1.73736e+09,1737360129325885890,-0.0183527,-0.0844721,0,-0.226292
1.73736e+09,1737360129425880615,-0.018105,-0.0842608,0,-0.226893
1.73736e+09,1737360129526019666,-0.0182957,-0.0842434,0,-0.227133
1.73736e+09,1737360129625888606,-0.0182957,-0.0842434,0,-0.227133
1.73736e+09,1737360129725935312,-0.0182039,-0.084256,0,-0.226893
1.73736e+09,1737360129825881649,-0.0181875,-0.0841849,0,-0.226893
